identificativo,titolo,punteggio,tipologia
9,Star Wars: Episode III - Revenge of the Sith 3D,80,thriller
24214,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",76,drama
1789,War of the Worlds,74,thriller
10009,Star Wars: Episode II - Attack of the Clones 3D,67,thriller
771238285,Warm Bodies,-1,thriller
770785616,World War Z,-1,drama
771303871,War Witch,89,comedy
771323601,War of the Worlds the True Story,-1,comedy
771243843,Safe Haven: The Underground Railroad During The Vietnam War,-1,comedy
770784043,Bride Wars,11,comedy
11292,Star Wars: Episode IV - A New Hope,94,cartoon
11366,Star Wars: Episode VI - Return of the Jedi,79,series
7583,Lord of War,61,comedy
770669497,War (Rogue Assassin),12,series
770673565,Charlie Wilson's War,81,cartoon
11470,Star Wars: Episode V - The Empire Strikes Back,97,cartoon
10008,Star Wars: Episode I - The Phantom Menace,57,series
770676216,Punisher: War Zone,27,cartoon
770683913,Star Wars: The Clone Wars,19,drama
770675215,Dragon Wars,27,series
771206861,This Means War,26,comedy
706705084,"War, Inc.",30,series
771041783,War Horse,77,comedy
14104,A Nightmare on Elm Street 3 - Dream Warriors,73,drama
771030924,Immortals,35,thriller
10085,Kaze no tani no Naushika (Nausicaa of the Valley of the Wind) (Warriors of the Wind),82,cartoon
13609,The Warriors,94,thriller
770857926,Warrior,83,comedy
9622,The War of the Worlds,85,cartoon
287865052,The Protector (Tom yum goong) (Warrior King),55,cartoon
10278,WarGames (War Games),97,thriller
770673133,Warlords (Tau ming chong),65,series
444129908,Farscape: The Peacekeeper Wars,-1,cartoon
12874,Ong-Bak (Ong Bak: Muay Thai Warrior),86,thriller
13087,Mad Max 2: The Road Warrior,100,thriller
13139,The 13th Warrior,33,thriller
770808479,The Warrior's Way,30,thriller
13263,The War of the Roses,82,drama
14422,Hart's War,60,drama
14011,Casualties of War,83,cartoon
672128428,Empire of Dreams: The Story of the Star Wars Trilogy,-1,cartoon
11352,The War,27,drama
16861,Tae Guk Gi: The Brotherhood of War,80,comedy
771266110,The Invisible War,100,cartoon
425838881,Star Wars: Holiday Special,40,cartoon
771040915,"Tomorrow, When the War Began",64,comedy
14846,The Art of War,16,drama
155655042,Peaceful Warrior,25,comedy
18489,The War of the Worlds,-1,drama
11114,War and Peace,40,cartoon