TITOLO,ANNO,REGISTA,NUMERO,VOTO,IMDB,ROTTEN TOMATOES,MEDIA ,DIFFERENZA
300,2007,Zack Snyder,0,2,4,3,"3,5","1,5"
...E ora parliamo di Kevin,2011,Lynne Ramsay,0,4,4,4,4,0
17 ragazze,2011,"Delphine Coulin, Muriel Coulin, Delphine and Muriel Coulin",-0.7,1,3,3,3,2
21 grammi - Il peso dell'anima,2003,Alejandro González Iñárritu,27,3,4,4,4,1
28 giorni dopo,2002,Danny Boyle,31,2,4,4,4,2
45 anni,2015,Andrew Haigh,0,4,4,4,4,0
8 donne e un mistero,2002,François Ozon,24,4,4,3,"3,5","0,5"
8 e mezzo,1963,Federico Fellini,0,4,4,4,4,0
A proposito di Schmidt,2002,Alexander Payne,35,3,4,4,4,1
A qualcuno piace caldo,1959,Billy Wilder,0,3,4,4,4,1
A.I. - Intelligenza artificiale,2001,Steven Spielberg,16,4,4,3,"3,5","0,5"
Across the universe,2007,Julie Taymor,-0.3,3,4,3,"3,5","0,5"
Agorà,2009,Alejandro Amenábar,0,3,4,3,"3,5","0,5"
Albert Nobbs,2012,Rodrigo García,0,3,3,3,3,0
Alice in Wonderland,2010,Tim Burton,15,1,3,3,3,2
Amabili resti,2009,Peter Jackson,0.5,2,3,2,"2,5","0,5"
American beauty,1999,Sam Mendes,19,5,4,4,4,1
American history X,1998,Tony Kaye,0,3,4,4,4,1
American hustle,2013,David O. Russell,0,1,4,4,4,3
American psycho,2001,Mary Harron,0,3,4,3,"3,5","0,5"
Amistad,1997,Steven Spielberg,16,3,4,3,"3,5","0,5"
Amour,2012,Michael Haneke,0.2,4,4,4,4,0
Angel-A,2005,Luc Besson,0,3,4,3,"3,5","0,5"
Animali fantastici e dove trovarli,2016,David Yates,32,2,4,3,"3,5","1,5"
Animali notturni,2016,Tom Ford,0,2,4,3,"3,5","1,5"
Anonymus,2011,Roland Emmerich,0.2,9,3,3,3,6
Antichrist,2009,Lars von Trier,5,4,3,3,3,1
Apocalypto,2006,Mel Gibson,0,3,4,3,"3,5","0,5"
Arancia meccanica,1971,Stanley Kubrick,12,5,4,4,4,1
Arrival,2016,Denis Villeneuve,0.1,3,4,4,4,1
Arsenico e vecchi merletti,1942,Frank Capra,0,3,4,4,4,1
Assolo,2016,Laura Morante,0.1,1,3,0,"1,5","0,5"
Asterix e Obelix contro Cesare,1999,Claude Zidi,0,3,3,0,"1,5","1,5"
Attrazione fatale,1987,Adrian Lyne,-0.5,3,3,3,3,0
"Ave, Cesare!",2016,"Ethan Coen, Joel Coen",0.3,1,3,4,"3,5","2,5"
Baarìa,2009,Giuseppe Tornatore,11,3,3,3,3,0
Babel,2006,Alejandro González Iñárritu,27,5,4,3,"3,5","1,5"
Baciami ancora,2010,Gabriele Muccino,0.3,4,3,0,"1,5","2,5"
Bambole russe,2005,Cédric Klapisch,0.2,3,3,3,3,0
Bara con vista,2002,Nick Hurran,0,4,3,2,"2,5","1,5"
Basta che funzioni,2009,Woody Allen,10,2,4,3,"3,5","1,5"
Bastardi senza gloria,2009,Quentin Tarantino,8,4,4,4,4,0
Batman begins,2005,Christopher Nolan,26,3,4,4,4,1
Benny e Joon,1993,Jeremiah S. Chechik,0,3,4,3,"3,5","0,5"
Big fish - Le storie di una vita incredibile,2004,Tim Burton,15,3,4,4,4,1
Billy Elliot,2000,Stephen Daldry,18,3,4,4,4,1
Birdman,2014,Alejandro González Iñárritu,27,3,4,4,4,1
Blue Jasmine,2013,Woody Allen,10,2,4,4,4,2
Boyhood,2014,Richard Linklater,0,1,4,5,"4,5","3,5"
Boys don't cry,1999,Kimberly Peirce,0,4,4,4,4,0
Brooklyn,2015,John Crowley,-0.5,3,4,4,4,1
Cafè society,2016,Woody Allen,10,3,3,3,3,0
Calendar girls,2003,Nigel Cole,-0.1,3,3,3,3,0
Candidato a sorpresa,2012,Jay Roach,33,3,3,3,3,0
Canone inverso - Making love,2000,Ricky Tognazzi,0,4,4,0,2,2
Caos calmo,2008,Antonello Grimaldi,0,2,3,3,3,1
Carnage,2011,Roman Polański,20,3,4,3,"3,5","0,5"
Carne tremula,1997,Pedro Almodóvar,0,4,4,4,4,0
Carol,2015,Todd Haynes,0.2,4,4,4,4,0
Casablanca,1946,Michael Curtiz,0,2,4,5,"4,5","2,5"
Cast away,2000,Robert Zemeckis,22,4,4,4,4,0
Cena tra amici,2012,"Matthieu Delaporte, Alexandre de La Patellière",0,5,4,3,"3,5","1,5"
Charlie's Angels,2000,McG,0,2,3,3,3,1
Che fine ha fatto Baby Jane?,1962,Robert Aldrich,0,4,4,4,4,0
"Che pasticcio, Bridget Jones!",2004,Beeban Kidron,0,3,3,2,"2,5","0,5"
Chi ha incastrato Roger Rabbit?,1988,Robert Zemeckis,22,3,4,4,4,1
Chicago,2002,Rob Marshall,34,4,4,4,4,0
Chiedimi se sono felice,2000,"Aldo Baglio, Giacomo Poretti, Giovanni Storti, Massimo Venier",0,3,3,0,"1,5","1,5"
Chocolat,2000,Lasse Hallström,-0.2,3,4,3,"3,5","0,5"
"Christiane F. - Noi, i ragazzi dello zoo di Berlino",1981,Uli Edel,0,4,4,0,2,2
Cindirella man,2005,Ron Howard,0,9,4,4,4,5
Closer,2004,Mike Nichols,6,2,4,3,"3,5","1,5"
Cloud Atlas,2013,"Tom Tykwer, Lana Wachowski, Andy Wachowski",0,3,4,3,"3,5","0,5"
Come d'incanto,2007,Kevin Lima,0,0,4,4,4,4
Comic movie,2013,"Elizabeth Banks, Steven Brill, Steve Carr, Rusty Cundieff, James Duffy, Griffin Dunne, Peter Farrelly, Patrik Forsberg, James Gunn, Bob Odenkirk, Brett Ratner",0.2,3,2,1,"1,5","1,5"
Contact,1997,Robert Zemeckis,22,2,4,3,"3,5","1,5"
Cracks,2009,Jordan Scot,0.2,3,3,3,3,0
Dallas Buyers Club,2013,Jean-Marc Vallée,-0.2,4,4,4,4,0
Dark shadows,2012,Tim Burton,15,2,3,3,3,1
Dead man walking - Condannato a morte,1995,Tim Robbins,0,3,4,4,4,1
Diario di uno scandalo,2006,Richard Eyre,-0.3,4,4,4,4,0
Dietro la maschera,1985,Peter Bogdanovich,0,9,4,4,4,5
Dio esiste e vive a Bruxelles,2015,Jaco Van Dormael,-0.2,4,4,4,4,0
Django Unchained,2013,Quentin Tarantino,8,4,4,4,4,0
Dogville,2003,Lars von Trier,5,2,4,3,"3,5","1,5"
Donne sull'orlo di una crisi di nervi,1988,Pedro Almodóvar,-0.2,4,4,4,4,0
Donnie Darko,2001,Richard Kelly,-0.2,4,4,4,4,0
È stato il figlio,2012,Daniele Ciprì,0.2,3,3,0,"1,5","1,5"
E.T. l'extra-terrestre,1982,Steven Spielberg,16,3,4,5,"4,5","1,5"
Edward mani di forbice,1991,Tim Burton,15,4,4,4,4,0
El crimen perfecto,2005,Álex de la Iglesia,-0.2,4,4,4,4,0
Elizabeth,1998,Shekhar Kapur,-0.4,4,4,4,4,0
Elizabeth: the Golden Age,2007,Shekhar Kapur,0,4,4,3,"3,5","0,5"
Elle,2016,Paul Verhoeven,-0.3,3,4,4,4,1
Emmanuelle,1974,Just Jaeckin,0,0,2,2,2,2
Erin Brockovich - Forte come la verità,2000,Steven Soderbergh,17,2,4,4,4,2
Essere John Malkovich,1999,Spike Jonze,0.2,4,4,4,4,0
Eyes Wide Shut,1999,Stanley Kubrick,12,1,4,4,4,3
False verità,2005,Atom Egoyan,0,2,3,3,3,1
Femme fatale,2002,Brian De Palma,28,1,3,3,3,2
Fight club,1999,David Fincher,25,3,4,4,4,1
Florence Foster Jenkins,2016,Stephen Frears,0.2,2,3,4,"3,5","1,5"
Forrest Gump,1994,Robert Zemeckis,22,4,4,4,4,0
Four rooms,1995,Quentin Tarantino,8,4,3,2,"2,5","1,5"
Frankie e Ben - Una coppia a sorpresa,2001,Susan Seidelman,0,1,3,2,"2,5","1,5"
Freaks,1932,Tod Browning,0,3,4,4,4,1
Full Metal Jacket,1987,Stanley Kubrick,12,4,4,4,4,0
Funny games,2007,Michael Haneke,-0.4,3,3,3,3,0
Fuoco cammina con me,1992,David Lynch,-0.5,1,4,3,"3,5","2,5"
Fur - Ritratto immaginario di Diane Arbus,2006,Steven Shainberg,0.2,3,3,2,"2,5","0,5"
Gattaca - La porta dell'universo,1998,Andrew Niccol,0.1,4,4,4,4,0
Giovane e bella,2013,François Ozon,24,3,3,3,3,0
Giù al Nord,2008,Dany Boon,-0.2,3,4,0,2,1
Gli uccelli,1963,Alfred Hitchcock,1,2,4,4,4,2
Gone girl,2014,David Fincher,25,3,4,4,4,1
"Goodbye, Lenin!",2003,Wolfgang Becker,-0.5,4,4,4,4,0
Grand Budapest hotel,2014,Wes Anderson,4,3,4,4,4,1
Gravity,2013,Alfonso Cuarón,0,1,4,4,4,3
Grease - Brillantina,1978,Randal Kleiser,0,9,4,3,"3,5","5,5"
Guida galattica per autostoppisti,2005,Garth Jennings,-0.4,2,4,3,"3,5","1,5"
Hairspray - Grasso è bello,2007,Adam Shankman,0.5,3,3,4,"3,5","0,5"
Hanna,2011,Joe Wright,0.3,2,3,3,3,1
Harry Potter e i doni della morte - parte 1,2010,David Yates,32,4,4,4,4,0
Harry Potter e i doni della morte - parte 2,2011,David Yates,32,3,4,4,4,1
Harry Potter e il calice di fuoco,2005,Mike Newell,-0.4,4,4,4,4,0
Harry Potter e il prigioniero di Azkaban,2004,Alfonso Cuarón,-0.4,4,4,4,4,0
Harry Potter e il Principe Mezzosangue,2009,David Yates,32,3,4,4,4,1
Harry Potter e l'Ordine della Fenice,2007,David Yates,32,2,4,3,"3,5","1,5"
Harry Potter e la camera dei segreti,2002,Chris Columbus,30,3,4,4,4,1
Harry Potter e la pietra filosofale,2001,Chris Columbus,30,3,4,4,4,1
Harry ti presento Sally,1989,Rob Reiner,0,3,4,4,4,1
Heartburn - Affari di cuore,1986,Mike Nichols,6,0,3,3,3,3
Her - Lei,2014,Spike Jonze,0.2,3,4,4,4,1
Hook - Capitan uncino,1991,Steven Spielberg,16,2,3,2,"2,5","0,5"
Hugo Cabret,2011,Martin Scorsese,23,2,4,4,4,2
Hunger Games,2013,Francis Lawrence,-0.6,0,4,4,4,4
I cento passi,2000,Marco Tullio Giordana,-0.3,4,4,0,2,2
I miserabili,1998,Bille August,0.3,4,3,3,3,1
I ponti di Madison County,1995,Clint Eastwood,-0.1,3,4,4,4,1
I ragazzi stanno bene,2010,Lisa Cholodenko,-0.4,3,4,4,4,1
I segreti Brokeback Mountain,2006,Ang Lee,0.4,3,4,4,4,1
I segreti di Osage County,2014,John Wells,0.3,4,4,3,"3,5","0,5"
I soliti sospetti,1995,Bryan Singer,29,4,4,4,4,0
I Tenenbaum,2002,Wes Anderson,4,3,4,4,4,1
I tre moschettieri,2011,Paul W. S. Anderson,0,1,3,2,"2,5","1,5"
I'm not there,2007,Todd Haynes,0.3,3,3,3,3,0
Il 7 e l'8,2007,"Salvatore Ficarra, Valentino Picone, Giambattista Avellino",0.2,4,3,0,"1,5","2,5"
Il bambino col pigiama a righe,2008,Mark Herman,0,4,4,3,"3,5","0,5"
Il bell'Antonio,1960,Mauro Bolognini,-0.3,4,4,0,2,2
Il cacciatore,1978,Michael Cimino,0,4,4,4,4,0
Il caso Paradine,1947,Alfred Hitchcock,1,3,3,3,3,0
Il caso Spotlight,2015,Tom McCarthy,0,2,4,4,4,2
Il caso Thomas Crawford,2007,Gregory Hoblit,0,2,4,3,"3,5","1,5"
Il cavaliere oscuro,2008,Christopher Nolan,26,3,4,4,4,1
Il cavaliere oscuro - Il ritorno,2012,Christopher Nolan,26,2,4,4,4,2
Il colore viola,1986,Steven Spielberg,16,4,4,3,"3,5","0,5"
Il concerto,2009,Radu Mihăileanu,0.4,3,4,3,"3,5","0,5"
Il curioso caso di Benjamin Button,2009,David Fincher,25,3,4,4,4,1
Il delitto perfetto,1954,Alfred Hitchcock,1,5,4,4,4,1
Il diario di Bridget Jones,2001,Sharon Maguire,-0.5,3,4,3,"3,5","0,5"
Il diavolo veste Prada,2006,David Frankel,-0.2,3,3,3,3,0
Il discorso del re,2010,Tom Hooper,14,4,4,4,4,0
Il divo,2008,Paolo Sorrentino,7,3,4,4,4,1
Il dubbio,2008,John Patrick Shanley,-0.4,3,4,3,"3,5","0,5"
Il favoloso mondo di Amèlie,2002,Jean-Pierre Jeunet,-0.4,5,4,4,4,1
Il giorno della civetta,1968,Damiano Damiani,0,2,4,0,2,0
Il gladiatore,2000,Ridley Scott,0.2,5,4,4,4,1
Il grande Gatsby,2013,Baz Luhrmann,0.4,3,4,3,"3,5","0,5"
Il Grinch,2000,Ron Howard,0.2,3,3,3,3,0
Il labirinto del fauno,2006,Guillermo del Toro,-0.5,4,4,4,4,0
Il ladro di orchidee,2003,Spike Jonze,0,4,4,4,4,0
Il laureato,1967,Mike Nichols,6,2,4,4,4,2
Il matrimonio che vorrei,2012,David Frankel,0.4,3,3,3,3,0
Il matrimonio del mio migliore amico,1997,P. J. Hogan,-0.5,3,3,3,3,0
Il miglio verde,1999,Frank Darabont,0.4,4,4,3,"3,5","0,5"
Il mistero di Sleepy Hollow,1999,Tim Burton,15,3,4,3,"3,5","0,5"
Il padrino,1972,Francis Ford Coppola,0,4,5,5,5,1
Il padrino - parte II,1975,Francis Ford Coppola,-0.1,5,4,5,"4,5","0,5"
Il padrino - parte III,1990,Francis Ford Coppola,0,3,4,3,"3,5","0,5"
Il papà di Giovanna,2008,Pupi Avati,0.2,4,4,0,2,2
Il petroliere,2008,Paul Thomas Anderson,0.5,3,4,4,4,1
Il pianista,2002,Roman Polański,20,4,4,4,4,0
Il piccolo diavolo,1988,Roberto Benigni,21,3,3,0,"1,5","1,5"
Il piccolo Nicolas e i suoi genitori,2009,Laurent Tirard,-0.5,3,4,3,"3,5","0,5"
Il ponte per Terabithia,2007,Gábor Csupó,-0.6,9,4,4,4,5
Il portaborse,1991,Daniele Luchetti,0,9,4,0,2,7
Il pranzo di Babette,1987,Gabriel Axel,0,3,4,4,4,1
Il rosso e il blu,2012,Giuseppe Piccioni,-0.5,2,3,0,"1,5","0,5"
Il silenzio degli innocenti,1991,Jonathan Demme,0,5,4,4,4,1
Il talento di Mr. Ripley,1999,Anthony Minghella,-0.3,4,4,4,4,0
Il tempo delle mele 1,1980,Claude Pinoteau,-0.7,3,3,0,"1,5","1,5"
Il tempo delle mele 2,1982,Claude Pinoteau,-0.1,3,3,0,"1,5","1,5"
Il treno per Darjeeling,2007,Wes Anderson,4,3,4,3,"3,5","0,5"
Il vento che accarezza l'erba,2006,Ken Loach,0.1,4,4,4,4,0
In and out,1997,Frank Oz,0.1,3,3,3,3,0
In darkness,2013,Agnieszka Holland,-0.4,3,4,4,4,1
Inception,2010,Christopher Nolan,26,4,4,4,4,0
Indagine su un cittadino al di sopra di ogni sospetto,1970,Elio Petri,0,3,4,4,4,1
Innamorarsi,1984,Ulu Grosbard,0,1,3,3,3,2
Into the Wild - Nelle terre selvagge,2007,Sean Penn,-0.5,2,4,4,4,2
Into the Woods,2014,Rob Marshall,34,1,3,3,3,2
Intrigo a Berlino,2006,Steven Soderbergh,17,2,3,2,"2,5","0,5"
Intrigo internazionale,1959,Alfred Hitchcock,1,4,4,4,4,0
Io ed Annie,1977,Woody Allen,10,3,4,4,4,1
Io sono leggenda,2007,Francis Lawrence,0.5,1,4,3,"3,5","2,5"
Io ti salverò,1945,Alfred Hitchcock,1,2,4,4,4,2
J'ai tué mère,2009,Xavier Dolan,13,4,4,4,4,0
Jackie Brown,1997,Quentin Tarantino,8,4,4,4,4,0
Johnny English,2003,Peter Howitt,0.2,3,3,2,"2,5","0,5"
Johnny English - La rinascita,2011,Oliver Parker,-0.1,2,3,2,"2,5","0,5"
Johnny stecchino,1991,Roberto Benigni,21,3,4,3,"3,5","0,5"
Jules et Jim,2002,François Truffaut,0.5,4,4,4,4,0
Julie and Julia,2009,Nora Ephron,-0.3,3,3,4,"3,5","0,5"
Jumanji,1995,Joe Johnston,0.4,3,3,3,3,0
Juno,2008,Jason Reitman,0.3,3,4,4,4,1
Jurassic Park,1993,Steven Spielberg,16,2,4,4,4,2
Kill Bill - vol. 1,2003,Quentin Tarantino,8,5,4,4,4,1
Kill Bill - vol. 2,2004,Quentin Tarantino,8,5,4,4,4,1
Knight of cups,2015,Terrence Malick,9,3,3,3,3,0
Koyaanisqatsi,1983,Godfrey Reggio,0,4,4,4,4,0
Kramer contro Kramer,1979,Robert Benton,0,2,4,4,4,2
L'amore non va in vacanza,2006,Nancy Meyers,-0.4,3,3,3,3,0
L'appartamento spagnolo,2003,Cédric Klapisch,0.4,4,4,3,"3,5","0,5"
L'attesa,2015,Piero Messina,0.5,5,3,3,3,2
L'attimo fuggente,1989,Peter Weir,-0.3,4,4,4,4,0
L'erba di Grace,2000,Nigel Cole,-0.5,3,3,3,3,0
L'étrange couleur des toutes les larmes de ton corp,2013,"Hélène Cattet, Bruno Forzani",-0.3,3,3,3,3,0
L'inarrivabile felicità,1941,Sidney Lanfield,0,1,3,0,"1,5","0,5"
L'onda,2009,Dennis Gansel,-0.6,1,4,3,"3,5","2,5"
L'ultimo bacio,2001,Gabriele Muccino,0.4,4,3,0,"1,5","2,5"
